ubuntu@ip-172-31-40-74:~$ kubectl get events
LAST SEEN   TYPE      REASON                    OBJECT                                                    MESSAGE
57m         Normal    Starting                  node/ip-172-31-40-74
57m         Normal    RegisteredNode            node/ip-172-31-40-74                                      Node ip-172-31-40-74 event: Registered Node ip-172-31-40-74 in Controller
4d19h       Normal    SandboxChanged            pod/nfs-subdir-external-provisioner-86bcbb46d7-5x4p8      Pod sandbox changed, it will be killed and re-created.
4d19h       Normal    Pulled                    pod/nfs-subdir-external-provisioner-86bcbb46d7-5x4p8      Container image "registry.k8s.io/sig-storage/nfs-subdir-external-provisioner:v4.0.2" already present on machine
4d19h       Normal    Created                   pod/nfs-subdir-external-provisioner-86bcbb46d7-5x4p8      Created container nfs-subdir-external-provisioner
4d19h       Normal    Started                   pod/nfs-subdir-external-provisioner-86bcbb46d7-5x4p8      Started container nfs-subdir-external-provisioner
4d3h        Normal    SandboxChanged            pod/nfs-subdir-external-provisioner-86bcbb46d7-5x4p8      Pod sandbox changed, it will be killed and re-created.
4d3h        Normal    Pulled                    pod/nfs-subdir-external-provisioner-86bcbb46d7-5x4p8      Container image "registry.k8s.io/sig-storage/nfs-subdir-external-provisioner:v4.0.2" already present on machine
4d3h        Normal    Created                   pod/nfs-subdir-external-provisioner-86bcbb46d7-5x4p8      Created container nfs-subdir-external-provisioner
4d3h        Normal    Started                   pod/nfs-subdir-external-provisioner-86bcbb46d7-5x4p8      Started container nfs-subdir-external-provisioner
4d1h        Normal    SandboxChanged            pod/nfs-subdir-external-provisioner-86bcbb46d7-5x4p8      Pod sandbox changed, it will be killed and re-created.
4d1h        Normal    Pulled                    pod/nfs-subdir-external-provisioner-86bcbb46d7-5x4p8      Container image "registry.k8s.io/sig-storage/nfs-subdir-external-provisioner:v4.0.2" already present on machine
4d1h        Normal    Created                   pod/nfs-subdir-external-provisioner-86bcbb46d7-5x4p8      Created container nfs-subdir-external-provisioner
4d1h        Normal    Started                   pod/nfs-subdir-external-provisioner-86bcbb46d7-5x4p8      Started container nfs-subdir-external-provisioner
3d23h       Normal    SandboxChanged            pod/nfs-subdir-external-provisioner-86bcbb46d7-5x4p8      Pod sandbox changed, it will be killed and re-created.
3d23h       Normal    Pulled                    pod/nfs-subdir-external-provisioner-86bcbb46d7-5x4p8      Container image "registry.k8s.io/sig-storage/nfs-subdir-external-provisioner:v4.0.2" already present on machine
3d23h       Normal    Created                   pod/nfs-subdir-external-provisioner-86bcbb46d7-5x4p8      Created container nfs-subdir-external-provisioner
3d23h       Normal    Started                   pod/nfs-subdir-external-provisioner-86bcbb46d7-5x4p8      Started container nfs-subdir-external-provisioner
41h         Normal    SandboxChanged            pod/nfs-subdir-external-provisioner-86bcbb46d7-5x4p8      Pod sandbox changed, it will be killed and re-created.
41h         Normal    Pulled                    pod/nfs-subdir-external-provisioner-86bcbb46d7-5x4p8      Container image "registry.k8s.io/sig-storage/nfs-subdir-external-provisioner:v4.0.2" already present on machine
41h         Normal    Created                   pod/nfs-subdir-external-provisioner-86bcbb46d7-5x4p8      Created container nfs-subdir-external-provisioner
41h         Normal    Started                   pod/nfs-subdir-external-provisioner-86bcbb46d7-5x4p8      Started container nfs-subdir-external-provisioner
56m         Normal    SandboxChanged            pod/nfs-subdir-external-provisioner-86bcbb46d7-5x4p8      Pod sandbox changed, it will be killed and re-created.
56m         Normal    Pulled                    pod/nfs-subdir-external-provisioner-86bcbb46d7-5x4p8      Container image "registry.k8s.io/sig-storage/nfs-subdir-external-provisioner:v4.0.2" already present on machine
56m         Normal    Created                   pod/nfs-subdir-external-provisioner-86bcbb46d7-5x4p8      Created container nfs-subdir-external-provisioner
56m         Normal    Started                   pod/nfs-subdir-external-provisioner-86bcbb46d7-5x4p8      Started container nfs-subdir-external-provisioner
3d22h       Normal    Scheduled                 pod/nginx-1                                               Successfully assigned default/nginx-1 to ip-172-31-40-74
3d22h       Normal    Pulling                   pod/nginx-1                                               Pulling image "nginx"
3d22h       Normal    Pulled                    pod/nginx-1                                               Successfully pulled image "nginx" in 5.316s (5.316s including waiting)
3d22h       Normal    Created                   pod/nginx-1                                               Created container nginx-container
3d22h       Normal    Started                   pod/nginx-1                                               Started container nginx-container
41h         Normal    SandboxChanged            pod/nginx-1                                               Pod sandbox changed, it will be killed and re-created.
